,Output Freq,Input Freq,Uplink Tone,Downlink Tone,Lat,Long,Call,,,IRLP
,147.18000,147.78000,123.0,,31.97459984,-86.16230011,W4AP,1,1,
,147.18000,147.78000,100.0,100.0,34.73040009,-86.58609772,WD4CPF,1,1,4950
,147.18000,147.78000,114.8,,31.63730049,-88.31359863,KF4ZLK,1,1,
,147.20000,147.80000,110.9,110.9,33.70500183,-87.85790253,W4GLE,1,1,
,147.20000,147.80000,107.2,,32.00630188,-86.15630341,KE4LTT,1,1,
,147.21000,147.81000,100.0,,31.28269958,-86.25550079,N4SYB,1,1,
,147.21000,147.81000,100.0,100.0,31.45910072,-85.64050293,WA4GIU,1,1,
,147.21000,147.81000,103.5,,34.39250183,-87.72820282,WX4FC,1,1,
,147.22000,147.82000,136.5,136.5,34.74509811,-86.51170349,W4HMC,1,1,
,147.22000,147.82000,77.0,77.0,32.99119949,-87.62300110,K4CR,1,1,
,147.22500,147.82500,203.5,,31.09070015,-88.22810364,W4FRG,1,1,
,147.24000,147.84000,156.7,,32.60990143,-85.48079681,K4RY,1,1,
,147.24000,147.84000,100.0,100.0,31.31520081,-85.85520172,WD4ROJ,1,1,
,147.24000,147.84000,,D331,30.36820030,-87.83499908,WA4MZE,1,1,
,147.24000,147.84000,82.5,,34.49200058,-86.63079834,KB4CRG,1,1,
,147.24000,147.84000,186.2,,33.20980072,-87.56919861,KR4ET,,1,
,147.25500,147.85500,131.8,,33.27370071,-85.83609772,,1,1,
,147.25500,147.85500,131.8,,33.35390091,-85.82790375,AA4CL,1,1,
,147.26000,147.86000,100.0,,31.30850029,-86.48329926,WC4M,1,1,
,147.26000,147.86000,,,33.83119965,-87.27749634,KI4GEA,1,1,
,147.27000,147.87000,100.0,100.0,34.44430161,-85.71970367,W4DGH,1,1,
,147.27000,147.87000,141.3,141.3,33.15119934,-85.37220001,KA4KBX,1,1,
,147.28000,147.88000,100.0,,33.52069855,-86.80249786,W4TPA,1,1,
,147.28000,147.88000,210.7,210.7,31.70879936,-87.77719879,AB4BR,1,1,
,147.30000,147.90000,123.0,123.0,32.60990143,-85.48079681,W4HOD,1,1,
,147.30000,147.90000,103.5,103.5,34.73040009,-86.58609772,W4QB,1,1,
,147.30000,147.90000,203.5,,30.67819977,-88.19850159,W4IAX,1,1,
,147.30000,147.90000,131.8,131.8,33.20980072,-87.56919861,W4WYN,1,1,
,147.32000,147.92000,100.0,100.0,34.92110062,-87.66079712,KF4GZI,1,1,
,147.32000,147.92000,100.0,,34.26839828,-85.55690002,W4CCA,1,1,
,147.32000,147.92000,88.5,88.5,33.28379822,-86.82499695,W4SHL,1,1,
,147.34000,147.94000,,,31.22319984,-85.39050293,N4RNU,1,1,
,147.34000,147.94000,100.0,,34.70090103,-87.52890015,AC4EG,1,1,
,147.34500,147.94500,203.5,,30.69440079,-88.04309845,W4IAX,1,1,
,147.34500,147.94500,103.5,103.5,33.11819839,-87.12500000,K4DL,,1,
,147.36000,147.96000,103.5,103.5,34.50790024,-87.72859955,WX4FC,1,1,
,147.36000,147.96000,123.0,,34.57899857,-85.98660278,K4SCO,1,1,
,147.37500,147.97500,123.0,123.0,32.64020157,-87.30280304,KD4EXS,1,1,
,147.37500,147.97500,77.0,77.0,33.94820023,-86.47280121,KK4CWX,1,1,
,147.37500,147.97500,,,32.64540100,-85.37830353,W4LEE,1,,
,147.39000,147.99000,110.9,,33.75979996,-87.18329620,W4WCA,1,1,
,147.41500,146.41500,123.0,CSQ,34.30440140,-86.99639893,W4CFI,1,1,
,147.44500,146.44500,77.0,77.0,33.95980072,-86.63939667,N3AST,1,1,
,147.47000,146.87000,77.0,,34.49360700,-85.85872500,KF4WNF,1,1,
,147.50500,146.50500,123.0,CSQ,34.74509811,-86.51170349,W4TCL,1,1,
,147.54000,147.54000,,,34.26759370,-86.20886690,KG4BHR,1,,
,223.52000,223.52000,100.0,,34.24875400,-86.21128200,KG4BHR,1,,
,224.12000,222.52000,,,33.81430054,-86.80940247,W4GQF,1,1,
,224.22000,222.62000,100.0,,33.43590164,-86.10579681,W4PIG,1,1,
,224.24000,222.64000,146.2,,32.83119965,-85.76360321,KB4MDD,1,1,
,224.34000,222.74000,,,34.50790024,-87.72859955,NV4B,1,1,
,224.40000,222.80000,218.1,218.1,33.38460159,-86.41190338,KK4OWL,1,1,
,224.44000,222.84000,CSQ,CSQ,33.84529877,-86.88330078,KD4CIF,1,1,
,224.50000,222.90000,100.0,,33.21490097,-86.78839874,NR4J,1,1,
,224.66000,223.06000,100.0,,34.26760101,-86.20890045,N4TZV,1,1,
,224.72000,223.12000,114.8,,34.57949829,-85.59049988,W4OZK,1,1,
,224.84000,223.24000,,,32.68679810,-85.66809845,W4KEN,1,1,
,224.88000,223.28000,123.0,123.0,32.63290024,-86.12969971,W4KEN,1,1,
,224.92000,223.32000,,,33.15119934,-85.37220001,KA4KBX,1,1,
,224.94000,223.34000,100.0,100.0,34.73040009,-86.58609772,N4HSV,1,1,
,440.56250,445.56250,,,33.59090042,-86.49079895,KE4CAA,1,,
,441.80000,446.80000,CSQ,CSQ,33.95370102,-87.21450043,KI4GEA,1,1,
,442.00000,447.00000,203.5,,34.73040009,-86.58609772,KE4BLC,1,1,
,442.00000,447.00000,100.0,,33.30390167,-86.66110229,N4PHP,1,1,
,442.02500,447.02500,203.5,203.5,34.82559967,-87.29470062,KF4GZI,1,1,
,442.02500,447.02500,100.0,,32.40739822,-87.02110291,N4KTX,1,1,
,442.07500,447.07500,,,33.43019867,-86.78099823,KO4TM,1,,
,442.07500,447.07500,123.0,,32.39509964,-85.91840363,KK4ICE,1,1,
,442.10000,447.10000,,,33.65219879,-86.61669922,KK4YOE,1,,
,442.12500,447.12500,100.0,100.0,34.91809845,-88.06420135,KF4GZI,1,1,
,442.15000,447.15000,,,33.20980072,-87.56919861,W4MD,1,1,
,442.17500,447.17500,100.0,,34.91009903,-86.42780304,W4TCL,1,1,
,442.17500,447.17500,,,32.73649979,-85.49839783,KK4ICE,1,,
,442.22500,447.22500,,,31.83099937,-86.60970306,K4TNS,1,,
,442.22500,447.22500,203.5,203.5,34.22650146,-87.62139893,W4ZZA,1,1,
,442.27500,447.27500,,,34.73040009,-86.58609772,W4FMX,1,,
